36
Walcott,11,ATTACKER,Everton,0
Vardy,9,attaCker,Leicester,0
Tierney,3,Defender,Arsenal,0
Messi,10,Attacker,Barcelona,1
Leno,1,keeper,Arsenal,0
Evans,6,Defender,Leicester,0
Pepe,19,ATTACKER,Arsenal,0
Neymar,10,Attacker,Paris Saint-Germain,0
Schmeichel,1,KEEPER,Leicester,0
Pereira,21,defender,Leicester,0
Luiz,23,defender,Arsenal,0
Ronaldo,7,Attacker,Juventus,0
Guendouzi,29,Midfielder,Arsenal,0
Ramsey,8,MIDfielder,Juventus,0
Ceballos,8,midfielder,Arsenal,0
Ozil,10,Attacker,Arsenal,1
Marcelo,12,DEFender,Real Madrid,0
Soyuncu,4,defender,Leicester,0
Martinelli,35,attacker,Arsenal,0
Ndidi,25,midfielder,Leicester,0
Fuchs,28,DEFender,Leicester,0
Martinez,26,keeper,Arsenal,0
Barnes,19,ATTACKER,Leicester,0
Bellerin,2,Defender,Arsenal,1
Perez,17,MidFielder,Leicester,0
Ramos,4,Defender,Real Madrid,1
Sokratis,5,defender,Arsenal,0
Silva,2,Defender,Paris Saint-Germain,1
Maddison,10,attaCker,Leicester,0
Tielemans,8,MidFielder,Leicester,0
Gray,7,MIDfielder,Leicester,0
Torreira,11,midfielder,Arsenal,0
Kane,10,ATTACKER,Tottenham,0
Aubameyang,14,attacker,Arsenal,1
Morgan,5,defendEr,Leicester,1
Iwobi,17,MidFielder,Everton,0
